InsertionSort;MergeSort;QuickSort
1713;0.001199;0.05182;1.188912
1714;0.001438;0.051943;1.238743
1715;0.002109;0.051448;1.438787
1716;0.001453;0.051311;1.271401
1717;0.001304;0.051398;1.326899
1718;0.001341;0.058645;1.500547
1719;0.001196;0.052271;1.274088
1720;0.001388;0.0514;1.396096
1721;0.001343;0.051439;1.576779
1722;0.001108;0.053692;1.29184
1723;0.001402;0.051644;1.232926
1724;0.001427;0.051393;1.201201
1725;0.001338;0.051921;1.721249
1726;0.001409;0.05188;1.463024
1727;0.001355;0.055616;1.303519
1728;0.001213;0.048073;1.354927
1729;0.00117;0.048407;1.796812
1730;0.001137;0.048359;1.304583
1731;0.00135;0.04889;1.268548
1732;0.001227;0.048157;1.296435
1733;0.003564;0.049073;1.377497
1734;0.001471;0.049194;1.58235
1735;0.001272;0.048451;1.290358
1736;0.001221;0.049219;1.298566
1737;0.001411;0.049374;1.288963
1738;0.00143;0.049279;1.255372
1739;0.001238;0.049491;1.322222
1740;0.001229;0.049061;1.779125
1741;0.001343;0.049455;1.789347
1742;0.001405;0.050464;1.495789
1743;0.001189;0.049136;1.228352
1744;0.001831;0.052866;1.249499
1745;0.001134;0.053389;1.486839
1746;8.51E-4;0.05363;1.244944
1747;8.52E-4;0.050832;1.252655
1748;8.57E-4;0.050707;1.651582
1749;8.63E-4;0.051172;1.409832
1750;0.003368;0.048957;1.254005
1751;8.6E-4;0.049523;1.220814
1752;8.61E-4;0.049767;1.222441
1753;8.6E-4;0.049653;1.234334
