InsertionSort;MergeSort;QuickSort
1550;0.358226;0.144343;0.106166
1551;0.351647;0.147061;0.105045
1552;0.522495;0.144886;0.105614
1553;0.485403;0.146456;0.106011
1554;0.373421;0.145492;0.114478
1555;0.372597;0.144705;0.10684
1556;0.351092;0.146287;0.110699
1557;0.351698;0.154026;0.106859
1558;0.361861;0.146647;0.10742
1559;0.348463;0.146268;0.107791
1560;0.351172;0.146318;0.105714
1561;0.350642;0.146599;0.105399
1562;0.403835;0.149362;0.106671
1563;0.357146;0.146615;0.106786
1564;0.360827;0.147843;0.106424
1565;0.355562;0.149904;0.107913
1566;0.351145;0.146815;0.105998
1567;0.395302;0.146877;0.110909
1568;0.401744;0.147285;0.107995
1569;0.396078;0.170319;0.106692
1570;0.377354;0.149487;0.106515
1571;0.358504;0.148059;0.107471
1572;0.364213;0.148115;0.108434
1573;0.357795;0.148338;0.107789
1574;0.365513;0.148783;0.106328
1575;0.359074;0.155252;0.108748
1576;0.356898;0.148545;0.107136
1577;0.358346;0.148656;0.114164
1578;0.364383;0.148751;0.108082
1579;0.361531;0.148585;0.144224
1580;0.359147;0.148966;0.112559
1581;0.399407;0.148804;0.108111
1582;0.396126;0.14922;0.109547
1583;0.401164;0.148783;0.109166
1584;0.369806;0.149058;0.107401
1585;0.366177;0.149457;0.107881
1586;0.362867;0.149534;0.123611
1587;0.382786;0.149546;0.11186
1588;0.388673;0.149654;0.109619
1589;0.396388;0.149748;0.109358
1590;0.387238;0.150007;0.108886
1591;0.37958;0.15622;0.114203
1592;0.378267;0.158967;0.109131
1593;0.374681;0.151634;0.109413
1594;0.364023;0.150603;0.109388
1595;0.4265;0.150625;0.112346
1596;0.407673;0.15073;0.11314
1597;0.406712;0.176732;0.110705
1598;0.369985;0.273206;0.110049
1599;0.60094;0.160685;0.11003
1600;0.402607;0.151472;0.10928
1601;0.395902;0.152036;0.117213
1602;0.387304;0.166384;0.10965
1603;0.368129;0.152656;0.112502
1604;0.383304;0.152032;0.114306
1605;0.371015;0.152205;0.1108
1606;0.386459;0.158753;0.109995
1607;0.369768;0.15651;0.110349
1608;0.405849;0.151904;0.110434
1609;0.400673;0.152778;0.111403
1610;0.392682;0.152602;0.112302
1611;0.371351;0.154808;0.111294
1612;0.379187;0.154884;0.111267
1613;0.394235;0.152874;0.111031
1614;0.418889;0.153489;0.110306
1615;0.378447;0.153201;0.114689
1616;0.377524;0.152914;0.113448
1617;0.373194;0.153457;0.111395
1618;0.626152;0.153779;0.111222
1619;0.643666;0.154501;0.111525
1620;0.400989;0.155472;0.111439
1621;0.380254;0.157693;0.110538
1622;0.379263;0.153774;0.12303
1623;0.376935;0.154685;0.113758
1624;0.412729;0.155155;0.111479
1625;0.412372;0.153866;0.11271
1626;0.436365;0.159005;0.114067
1627;0.421096;0.154472;0.133785
1628;0.40558;0.154115;0.118473
1629;0.39413;0.259254;0.110364
1630;0.429936;0.16127;0.112674
1631;0.412901;0.155599;0.112894
1632;0.393175;0.155461;0.1123
1633;0.38752;0.155562;0.112747
1634;0.38714;0.156033;0.111443
1635;0.385032;0.155459;0.112893
1636;0.385551;0.155493;0.113437
1637;0.431072;0.155758;0.11163
1638;0.436396;0.159963;0.111048
1639;0.599889;0.156083;0.115468
1640;0.451555;0.163982;0.112097
1641;0.395196;0.157049;0.112239
1642;0.401599;0.156938;0.112907
1643;0.398621;0.156427;0.112447
1644;0.389278;0.156547;0.112888
1645;0.392521;0.15672;0.113026
1646;0.676884;0.157214;0.125817
1647;0.604749;0.158899;0.111763
1648;0.455848;0.15647;0.120954
1649;0.419265;0.157491;0.111917
1650;0.432523;0.156921;0.196763
1651;0.401617;0.156824;0.162931
1652;0.395986;0.170517;0.127072
1653;0.427355;0.163614;0.118527
1654;0.410189;0.158305;0.114272
1655;0.426438;0.157631;0.114585
1656;0.416292;0.161569;0.11295
1657;0.410899;0.16322;0.115443
1658;0.399065;0.158234;0.114455
1659;0.412841;0.157451;0.11266
1660;0.397656;0.158215;0.114361
1661;0.409746;0.157805;0.114715
1662;0.398585;0.158077;0.1139
1663;0.437685;0.157658;0.114469
1664;0.437505;0.158544;0.127008
1665;0.44484;0.160266;0.120762
1666;0.402227;0.160779;0.115423
1667;0.398835;0.158006;0.115298
1668;0.462364;0.158502;0.11467
1669;0.433048;0.174665;0.114239
1670;0.586231;0.169753;0.116378
1671;0.417201;0.170292;0.114622
1672;0.411641;0.173571;0.118646
1673;0.402705;0.173727;0.11911
1674;0.774349;0.161232;0.115714
1675;0.62925;0.159911;0.115386
1676;0.501522;0.162412;0.115441
1677;0.452769;0.158414;0.115219
1678;0.415715;0.184529;0.115135
1679;0.476087;0.158999;0.117677
1680;0.426326;0.158411;0.115831
1681;0.420093;0.161735;0.115293
1682;0.407169;0.159698;0.116191
1683;0.712013;0.159854;0.115486
1684;0.574501;0.186994;0.119048
1685;0.465382;0.161455;0.115994
1686;0.476493;0.161127;0.116258
1687;0.500106;0.164713;0.116186
1688;0.444826;0.160434;0.117061
1689;0.467555;0.160744;0.117148
1690;0.428127;0.163039;0.119582
1691;0.422635;0.160764;0.119973
1692;0.42138;0.160522;0.117302
1693;0.414528;0.161482;0.11773
1694;0.425329;0.161443;0.115881
1695;0.413515;0.161081;0.118603
1696;0.418305;0.160794;0.117112
1697;0.462123;0.164312;0.125766
1698;0.50324;0.230515;0.119185
1699;0.41802;0.161935;0.117114
1700;0.418791;0.164635;0.117169
1701;0.52019;0.164376;0.116969
1702;0.437926;0.162046;0.117973
1703;0.431897;0.163665;0.212232
1704;0.430807;0.161366;0.122809
1705;0.426111;0.162564;0.118992
